isOptimal,n,Time Taken (s),Original Puzzle Location,Final Path Location
TRUE,8,0.006003141,../data/board.txt,../res/board.txt
TRUE,8,0.005476952,../data/board_0.txt,../res/board_0.txt
TRUE,8,0.005566835,../data/board_1.txt,../res/board_1.txt
TRUE,8,0.006532907,../data/board_10.txt,../res/board_10.txt
TRUE,8,0.007394075,../data/board_11.txt,../res/board_11.txt
TRUE,8,0.006939888,../data/board_12.txt,../res/board_12.txt
TRUE,8,0.009839058,../data/board_13.txt,../res/board_13.txt
TRUE,8,0.006046057,../data/board_14.txt,../res/board_14.txt
TRUE,8,0.008387089,../data/board_15.txt,../res/board_15.txt
TRUE,8,0.009034872,../data/board_16.txt,../res/board_16.txt
TRUE,8,0.003676891,../data/board_17.txt,../res/board_17.txt
TRUE,8,0.008147001,../data/board_18.txt,../res/board_18.txt
TRUE,8,0.028641939,../data/board_19.txt,../res/board_19.txt
TRUE,8,0.009318113,../data/board_2.txt,../res/board_2.txt
TRUE,8,0.008393049,../data/board_20.txt,../res/board_20.txt
TRUE,8,0.002519131,../data/board_21.txt,../res/board_21.txt
TRUE,8,0.008520842,../data/board_22.txt,../res/board_22.txt
TRUE,8,0.006654024,../data/board_23.txt,../res/board_23.txt
TRUE,8,0.006746054,../data/board_3.txt,../res/board_3.txt
TRUE,8,0.005393028,../data/board_4.txt,../res/board_4.txt
TRUE,8,0.006742001,../data/board_5.txt,../res/board_5.txt
TRUE,8,0.005676031,../data/board_6.txt,../res/board_6.txt
TRUE,8,0.006205082,../data/board_7.txt,../res/board_7.txt
TRUE,8,0.006544113,../data/board_8.txt,../res/board_8.txt
TRUE,8,0.006186962,../data/board_9.txt,../res/board_9.txt
TRUE,16,0.021064043,../data/board_24.txt,../res/board_24.txt
TRUE,16,0.056998014,../data/board_25.txt,../res/board_25.txt
TRUE,16,0.018477917,../data/board_26.txt,../res/board_26.txt
TRUE,16,0.021095991,../data/board_27.txt,../res/board_27.txt
TRUE,16,0.019873142,../data/board_28.txt,../res/board_28.txt
TRUE,16,0.02235198,../data/board_29.txt,../res/board_29.txt
TRUE,16,0.022596836,../data/board_30.txt,../res/board_30.txt
TRUE,16,0.022518158,../data/board_31.txt,../res/board_31.txt
TRUE,16,0.019469976,../data/board_32.txt,../res/board_32.txt
TRUE,16,0.020818949,../data/board_33.txt,../res/board_33.txt
TRUE,16,0.018556118,../data/board_34.txt,../res/board_34.txt
TRUE,16,0.019205093,../data/board_35.txt,../res/board_35.txt
TRUE,16,0.023389101,../data/board_36.txt,../res/board_36.txt
TRUE,16,0.022804022,../data/board_37.txt,../res/board_37.txt
TRUE,16,0.020143986,../data/board_38.txt,../res/board_38.txt
TRUE,16,0.022192001,../data/board_39.txt,../res/board_39.txt
TRUE,16,0.018961191,../data/board_40.txt,../res/board_40.txt
TRUE,16,0.026017904,../data/board_41.txt,../res/board_41.txt
TRUE,16,0.024149179,../data/board_42.txt,../res/board_42.txt
TRUE,16,0.026309967,../data/board_43.txt,../res/board_43.txt
TRUE,16,0.022449017,../data/board_44.txt,../res/board_44.txt
TRUE,16,0.020519018,../data/board_45.txt,../res/board_45.txt
TRUE,16,0.025270224,../data/board_46.txt,../res/board_46.txt
TRUE,16,0.021522999,../data/board_47.txt,../res/board_47.txt
TRUE,16,0.019268036,../data/board_48.txt,../res/board_48.txt
TRUE,24,0.11796689,../data/board_49.txt,../res/board_49.txt
TRUE,24,0.129040003,../data/board_50.txt,../res/board_50.txt
TRUE,24,0.105684042,../data/board_51.txt,../res/board_51.txt
TRUE,24,0.114449024,../data/board_52.txt,../res/board_52.txt
TRUE,24,0.100793123,../data/board_53.txt,../res/board_53.txt
TRUE,24,0.116106033,../data/board_54.txt,../res/board_54.txt
TRUE,24,0.120767117,../data/board_55.txt,../res/board_55.txt
TRUE,24,0.095293045,../data/board_56.txt,../res/board_56.txt
TRUE,24,0.113107204,../data/board_57.txt,../res/board_57.txt
TRUE,24,0.168220043,../data/board_58.txt,../res/board_58.txt
TRUE,24,0.115541935,../data/board_59.txt,../res/board_59.txt
TRUE,24,0.105855942,../data/board_60.txt,../res/board_60.txt
TRUE,24,0.138615131,../data/board_61.txt,../res/board_61.txt
TRUE,24,0.121100903,../data/board_62.txt,../res/board_62.txt
TRUE,24,0.11800909,../data/board_63.txt,../res/board_63.txt
